show_id,title,cast,country,date_added,release_year,rating,duration,listed_in,primary_genre
s264,Mother Goose Club,Unknown,United States,2021-08-16 00:00:00,2016,TV-Y,2 Seasons,Kids' TV,Kids' TV
s266,Rascal Does Not Dream of Bunny Girl Senpai,"Kaito Ishikawa, Asami Seto, Nao Toyama, Atsumi Tanezaki, Maaya Uchida, Yurika Kubo, Inori Minase",Japan,2021-08-15 00:00:00,2018,TV-14,1 Season,"Anime Series, Romantic TV Shows",Anime Series
s267,The Creative Indians,Unknown,India,2021-08-15 00:00:00,2020,TV-MA,1 Season,Docuseries,Docuseries
s270,Winx Club,"Liza Jacqueline, Helena Evangeliou, Lisa Ortiz, Kerry Williams, Gregory Abbey, Dan Green, Michael Sinterniklaas, Suzy Myers, Christina Rodriguez, Dani Schaffel, Sebastian Arcelus, Rachael Lillis",Italy,2021-08-15 00:00:00,2015,TV-Y7,2 Seasons,Kids' TV,Kids' TV
s272,Brand New Cherry Flavor,"Rosa Salazar, Eric Lange, Catherine Keener, Jeff Ward, Manny Jacinto, Hannah Levien, Patrick Fischler",United States,2021-08-13 00:00:00,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",TV Dramas
s273,Fast & Furious Spy Racers,"Tyler Posey, Charlet Chung, Jorge Diaz, Camille Ramsey, Luke Youngblood, Renée Elise Goldsberry",United States,2021-08-13 00:00:00,2021,TV-Y7,5 Seasons,Kids' TV,Kids' TV
s274,Gone for Good,"Finnegan Oldfield, Nicolas Duvauchelle, Guillaume Gouix, Garance Marillier, Nailia Harzoune",France,2021-08-13 00:00:00,2021,TV-MA,1 Season,"Crime TV Shows, TV Dramas",Crime TV Shows
s275,Grace and Frankie,"Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn",United States,2021-08-13 00:00:00,2021,TV-MA,7 Seasons,"TV Comedies, TV Dramas",TV Comedies
s276,The Kingdom,"Chino Darín, Nancy Dupláa, Joaquín Furriel, Peter Lanzani, Mercedes Morán, Diego Peretti, Vera Spinetta, Nico García Hume, Victoria Almeida, Santiago Korovsky, Patricio Aramburu, Alfonso Tort, Diego Gentile, Néstor Guzzini, Daniel Kuzniecka",Argentina,2021-08-13 00:00:00,2021,TV-MA,1 Season,"Crime TV Shows, Spanish-Language TV Shows",Crime TV Shows
s277,Valeria,"Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias, Ibrahim Al Shami",Spain,2021-08-13 00:00:00,2021,TV-MA,2 Seasons,"Romantic TV Shows, Spanish-Language TV Shows",Romantic TV Shows
s278,AlRawabi School for Girls,"Andria Tayeh, Rakeen Sa'ad, Noor Taher, Yara Mustafa, Joanna Arida, Salsabiela, Nadera Emran, Reem Saadeh",Jordan,2021-08-12 00:00:00,2021,TV-14,1 Season,"TV Dramas, Teen TV Shows",TV Dramas
s281,Bake Squad,Unknown,United States,2021-08-11 00:00:00,2021,TV-PG,1 Season,Reality TV,Reality TV
s287,Gabby's Dollhouse,"Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton, Eduardo Franco, Tara Strong, Secunda Wood, Carla Tassara, Sainty Nelsen",United States,2021-08-10 00:00:00,2021,TV-Y,2 Seasons,Kids' TV,Kids' TV
s288,I Need Romance,"Khemanit Jamikorn, Thitipoom Techaapaikhun, Kannaporn Puangthong, Premmanat Suwannanon, Mintita Wattanakul, Thames Sanpakit, Katareeya Theapchatri, Phanuroj Chalermkijporntavee, Jirapisit Jaravijit",Unknown,2021-08-10 00:00:00,2021,TV-14,1 Season,"Romantic TV Shows, TV Comedies",Romantic TV Shows
s289,Las muñecas de la mafia,"Amparo Grisales, Fernando Solórzano, Angelica Blandon, Katherine Escobar, Yuly Ferreira, Alejandra Sandoval, Andrea Gómez, Andrea Guzmán, Diego Vásquez, Julián Román, Juan Pablo Franco",Colombia,2021-08-10 00:00:00,2018,TV-MA,1 Season,"Crime TV Shows, Spanish-Language TV Shows",Crime TV Shows
s290,The Crowned Clown,"Yeo Jin-goo, Lee Se-young, Kim Sang-kyung, Jung Hye-young, Jang Kwang, Kwon Hae-hyo, Jang Yeong-nam, Lee Kyu-han",South Korea,2021-08-10 00:00:00,2019,TV-14,1 Season,"Romantic TV Shows, TV Dramas",Romantic TV Shows
s292,SHAMAN KING,"Yoko Hikasa, Katsuyuki Konishi, Megumi Hayashibara, Inuko Inuyama, Romi Park, Kosuke Takaguchi, Masahiko Tanaka, Wataru Takagi, Yuji Ueda, Megumi Nakajima, Takehito Koyasu, Yoko Soumi, Motoko Kumai, Yui Horie, Yuichi Nakamura, Nana Mizuki, Takumu Miyazono, Noriaki Kanze, Michiko Neya, Toru Sakurai, Rina Hidaka, Masakazu Morita, Minami Takayama",Japan,2021-08-09 00:00:00,2021,TV-14,1 Season,Anime Series,Anime Series
s297,Hit & Run,"Lior Raz, Kaelen Ohm, Sanaa Lathan, Moran Rosenblatt, Lior Ashkenazi, Gregg Henry, Gal Toren",Israel,2021-08-06 00:00:00,2021,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries",TV Action & Adventure
s298,Navarasa,"Suriya, Vijay Sethupathi, Revathy, Prakash Raj, Siddarth, Parvathy, Delhi Ganesh, Gautham Vasudev Menon, Anjali, Yogi Babu, Aditi Balan, Remya Nambeesan, Poorna, Prayaga Martin, Rythvika Suriya, Arvind Swamy, Prasanna, Atharva, Bobby Simha, Ashok Selvan, Nedumudi Venu, Kishore",India,2021-08-06 00:00:00,2021,TV-MA,1 Season,TV Shows,TV Shows
s310,Car Masters: Rust to Riches,"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle",Unknown,2021-08-04 00:00:00,2021,TV-PG,3 Seasons,Reality TV,Reality TV
s311,Cocaine Cowboys: The Kings of Miami,Unknown,United States,2021-08-04 00:00:00,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries",Crime TV Shows
s312,Control Z,"Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Zion Moreno, Luis Curiel, Samantha Acuña, Macarena García, Fiona Palomo, Andrés Baida, Patricio Gallardo, Iván Aragón, Xabiani Ponce de León, Patricia Maqueo, Rodrigo Cachero, Rocío Verdejo, Mauro Sánchez Navarro, Lidia San José, Thanya López, Renata del Castillo, Arturo Barba, Kariam Castro, Ariana Saavedra, Alexander Holtmann, Nastassia Villasana, Marco Zunino",Mexico,2021-08-04 00:00:00,2021,TV-MA,2 Seasons,"Spanish-Language TV Shows, TV Dramas",Spanish-Language TV Shows
s313,Cooking With Paris,Paris Hilton,United States,2021-08-04 00:00:00,2021,TV-MA,1 Season,Reality TV,Reality TV
s314,Autumn's Concerto,"Ady An, Vanness Wu, Ann Hsu, Wu Kang-ren, Xiao Xiao Bin",Taiwan,2021-08-03 00:00:00,2009,TV-14,1 Season,"Romantic TV Shows, TV Dramas",Romantic TV Shows
s317,Office Girls,"Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai",Taiwan,2021-08-03 00:00:00,2011,TV-14,1 Season,"Romantic TV Shows, TV Comedies",Romantic TV Shows
s320,The Prince Who Turns into a Frog,"Joe Chen, Ming Dao, Sam Wang, Joyce Chao, Gino, Su Li-hsin, Wang Chuan, Ehlo Huang",Taiwan,2021-08-03 00:00:00,2005,TV-14,1 Season,"Romantic TV Shows, TV Comedies",Romantic TV Shows
s321,Top Secret UFO Projects: Declassified,Unknown,Unknown,2021-08-03 00:00:00,2021,TV-PG,1 Season,Docuseries,Docuseries
s322,Two Fathers,"Weber Yang, Lin Yo-Wei, Megan Lai, Amanda Chou, Lucia Xie, Cherry Leung",Taiwan,2021-08-03 00:00:00,2013,TV-14,1 Season,"Romantic TV Shows, TV Comedies",Romantic TV Shows
s323,You're My Destiny,"Joe Chen, Ethan Juan, Baron Chen, Bianca Bai, Na Wei-hsun, Tan Ai-Chen",Taiwan,2021-08-03 00:00:00,2008,TV-MA,1 Season,"Romantic TV Shows, TV Comedies",Romantic TV Shows
s324,30 Rock,"Tina Fey, Alec Baldwin, Tracy Morgan, Jane Krakowski, Jack McBrayer, Scott Adsit, Judah Friedlander, Katrina Bowden, Keith Powell, Lonny Ross, John Lutz, Kevin Brown, Grizz Chapman, Maulik Pancholy",United States,2021-08-01 00:00:00,2012,TV-14,7 Seasons,TV Comedies,TV Comedies
s325,44 Cats,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder, Marca Leigh, Scottie Ray, Henry F. Benjamin",Italy,2021-08-01 00:00:00,2020,TV-Y7,3 Seasons,Kids' TV,Kids' TV
s332,Darwin’s Game,"Yusuke Kobayashi, Reina Ueda, Nichika Omori, Taku Yashiro, Yumiri Hanamori, Ai Kayano, Takehito Koyasu, Yoshitsugu Matsuoka",Unknown,2021-08-01 00:00:00,2020,TV-MA,1 Season,"Anime Series, TV Thrillers",Anime Series
s337,Friday Night Lights,"Kyle Chandler, Connie Britton, Aimee Teegarden, Taylor Kitsch, Jesse Plemons, Minka Kelly, Zach Gilford, Adrianne Palicki, Derek Phillips, Brad Leland, Gaius Charles, Timothy F. Crowley, Louanne Stephens, Stacey Oristano, Scott Porter",Unknown,2021-08-01 00:00:00,2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows",TV Dramas
s339,Hunter X Hunter (2011),"Megumi Han, Mariya Ise, Keiji Fujiwara, Miyuki Sawashiro, Daisuke Namikawa",Japan,2021-08-01 00:00:00,2014,TV-14,6 Seasons,Anime Series,Anime Series
s362,Charmed,"Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie",United States,2021-07-31 00:00:00,2021,TV-14,3 Seasons,"TV Dramas, TV Sci-Fi & Fantasy",TV Dramas
s365,Centaurworld,"Kimiko Glenn, Megan Hilty, Parvesh Cheena, Chris Diamantopoulos, Megan Nicole Dong, Jessie Mueller, Josh Radnor",Unknown,2021-07-30 00:00:00,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",Kids' TV
s367,Glow Up,Unknown,United Kingdom,2021-07-30 00:00:00,2021,TV-14,3 Seasons,"British TV Shows, Reality TV",British TV Shows
s369,Khawatir,Unknown,Unknown,2021-07-30 00:00:00,2009,TV-14,1 Season,Reality TV,Reality TV
s370,Myth & Mogul: John DeLorean,Unknown,Unknown,2021-07-30 00:00:00,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows
s371,Outer Banks,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey",United States,2021-07-30 00:00:00,2021,TV-MA,2 Seasons,"TV Action & Adventure, TV Dramas, Teen TV Shows",TV Action & Adventure
s377,Transformers: War for Cybertron: Kingdom,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco, Tessho Genda, Ryohei Kimura, Kikuko Inoue, Kazuhiko Inoue, Chafurin",Unknown,2021-07-29 00:00:00,2021,TV-Y7,1 Season,Anime Series,Anime Series
s380,Tattoo Redo,Unknown,Unknown,2021-07-28 00:00:00,2021,TV-MA,1 Season,Reality TV,Reality TV
s381,The Flash,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,2021-07-28 00:00:00,2021,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",Crime TV Shows
s382,The Snitch Cartel: Origins,"Juan Pablo Urrego, Sebastián Osorio, Patricia Tamayo, Verónica Velásquez, María Camila Zárate, Nicole Santamaría, Eduardo Pérez, Julian Farrieta, Gustavo Angarita Jr., Carlos Manuel Vesga, Helena Mallarino, David Prada, Margarita Reyes, Adriana Silva, Laura Rodríguez, Angélica Blandón, Maia Landaburu, Jesús de los Ríos",Unknown,2021-07-28 00:00:00,2021,TV-MA,1 Season,"Crime TV Shows, Spanish-Language TV Shows",Crime TV Shows
s383,All American,"Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane",United States,2021-07-27 00:00:00,2021,TV-14,3 Seasons,"TV Dramas, Teen TV Shows",TV Dramas
s386,How to Sell Drugs Online (Fast),"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne Mädel, Roland Riebeling",Germany,2021-07-27 00:00:00,2021,TV-MA,3 Seasons,"Crime TV Shows, TV Comedies",Crime TV Shows
s387,Mighty Express,"Jay Hatton, Zoe Hatz, Meesha Contreras, Dylan Shombing, Tyler Nathan, Leo Orgil, Michela Luci, Ian Ho, Evan Lefeuvre, Annick Obonsawin",United States,2021-07-27 00:00:00,2021,TV-Y,4 Seasons,Kids' TV,Kids' TV
s389,Plastic Cup Boyz: Laughing My Mask Off!,"Joey Wells, Will 'Spank' Horton, Na'im Lynn",Unknown,2021-07-27 00:00:00,2021,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows
